#{"t_start": 1706187320.441495, "env_id": null}
r,l,t
1.0,50,3276.520381
0.0,50,3279.008959
0.0,50,3280.13931
0.0,50,3281.906023
3.0,20,3282.302877
0.0,50,3285.363845
1.0,50,3286.677521
2.0,50,3287.691686
2.0,6,3287.832045
0.0,50,3289.281643
0.0,50,3290.880197
2.0,11,3291.077745
1.0,50,3292.762966
0.0,50,3293.493523
0.0,50,3294.572542
0.0,50,3294.979266
1.0,50,3297.24405
2.0,50,3298.712064
1.0,50,3299.913772
0.0,50,3302.099666
0.0,50,3305.52025
1.0,50,3308.0604
0.0,50,3308.963919
0.0,50,3310.75378
1.0,50,3312.346061
1.0,50,3314.158529
3.0,50,3368.987974
0.0,50,3370.770968
2.0,50,3373.071186
0.0,50,3373.881333
1.0,50,3375.880408
0.0,50,3377.244185
2.0,50,3379.414071
0.0,50,3380.819728
0.0,50,3381.988463
3.0,50,3383.447136
0.0,50,3385.16874
0.0,50,3387.953523
0.0,50,3388.875441
0.0,50,3390.182837
0.0,50,3392.302455
0.0,50,3394.297201
0.0,50,3396.341005
0.0,50,3398.201347
2.0,3,3398.320415
2.0,22,3399.153861
0.0,50,3399.9639
1.0,50,3402.337552
1.0,1,3402.347509
0.0,50,3403.978878
0.0,50,3405.839984
0.0,50,3406.923667
1.0,11,3407.131196
1.0,50,3408.939134
1.0,5,3409.017706
2.0,2,3409.194057
3.0,5,3409.384725
0.0,50,3411.086028
0.0,50,3412.949734
0.0,50,3414.153499
1.0,50,3415.655387
0.0,50,3416.715593
3.0,5,3416.848648
3.0,8,3417.106708
2.0,35,3418.220318
3.0,10,3418.544811
0.0,50,3421.067585
0.0,50,3422.050585
1.0,50,3423.951294
0.0,50,3424.626951
0.0,50,3426.127583
0.0,50,3426.89217
1.0,50,3428.011777
2.0,50,3429.142372
0.0,50,3430.342395
0.0,50,3489.634474
0.0,50,3490.981468
0.0,50,3491.986114
0.0,50,3493.21172
0.0,50,3495.821532
2.0,50,3496.862574
1.0,11,3497.066809
1.0,50,3497.664623
0.0,50,3499.403419
0.0,50,3500.740458
2.0,5,3500.800998
2.0,50,3502.077476
0.0,50,3503.192999
1.0,50,3505.149681
0.0,50,3506.764281
0.0,50,3508.917001
0.0,50,3509.668091
0.0,50,3512.160878
1.0,50,3513.741634
0.0,50,3515.206504
0.0,50,3517.061088
2.0,7,3517.359696
3.0,50,3518.75477
3.0,50,3519.331576
0.0,50,3521.959027
0.0,50,3523.829309
0.0,50,3525.511055
2.0,50,3526.968757
0.0,50,3528.810457
2.0,3,3528.837201
2.0,32,3529.665647
0.0,50,3531.935338
0.0,50,3533.106666
4.0,50,3534.429177
1.0,50,3535.105138
0.0,50,3536.398312
0.0,50,3538.930331
2.0,16,3539.353947
0.0,50,3541.971887
1.0,50,3542.768057
2.0,50,3544.288749
2.0,50,3544.834057
1.0,50,3547.481187
0.0,50,3549.272564
0.0,50,3550.293711
0.0,50,3552.63104
0.0,50,3615.584367
0.0,50,3617.083205
3.0,50,3618.624261
2.0,50,3619.989163
0.0,50,3620.770601
1.0,1,3620.77684
1.0,6,3620.908049
0.0,50,3624.052459
